autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Ray L,"Newport Beach, California","Our pre cruise activities included the option for this tour and while I don’t regret going, still laughing about how bad it was.  Our bus drove past the beautiful facility that was built on the apparently not so accurate Equator and it looked incredible. In 2000, the use of Gps", July 2019,Kinda bad
MurielC132018,"Kent, United Kingdom","It only costs a few dollars to enter but for that you get a guide in your own language to take you round and tell you about everything – animals, history, textiles, and do loads of experiments on the actual equator. You would not believe some of the things that happen. You can", April 2019,Such a highlight of our tour – don’t miss it!
Rae Rae C,,A bit kitschy but was neat to see the equator “activities” and learn a little bit about the history of the area.  The sun dials are very cool., June 2019,Interesting museum about the equator and the aboriginal people in Ecuador
Lola D,,"I went as a solo traveler wondering how to spend my Sunday afternoon. The visit was great, I highly recommend it for everyone ""solo travelers, group of friends or families with kids"" the staff was really kind and our Guide RONANDO was just perfect. The tour was fun and", June 2019,what a lovely way to spend a Sunday afternoon!!!
Crcb,"Williamsburg, Virginia",Our guide was terrific and very enthusiastic about sharing lore of the people and area. Being at the center of everything was fun. She had us try some experiments that showed how things work differently when you are in different hemispheres. It was very informative and, June 2019,Really interesting to learn more about the indigenous people
Indiana_Jonesse,"San Francisco, California","The museum is the brainchild of Humberta Vera who initiated equatorial zoning studies from a scientific viewpoint that later expanded into observations and acknowledgement of existence of the nearby regi0n for its sociological aspects. Since its initiation in 1960, the museum", May 2019,"Fun, Educational, Cultural"
TravelswithSheila,,"I don't usually like museums, but this one gave a good overview of some of the rich Ecuadorian culture and history. The guide was wonderful and it was really fun to see the effects of the Equator (balancing and egg on a nail, seeing how water drains differently on different", May 2019,Super fun and interesting
Ray S,"New York, United States","So glad we included this experience on our private car tour of Quito's surrounding attractions.  We found that the tour leader had a genuine interest in providing our small group with an engaging presentation.  The variety of information and content shared, along with some of", May 2019,Most authentic of the two Equator experiences
Lawrence O,"Edgewater, New Jersey","Don't bother going to the fancy monument, this is where the real fun is. Ecuador got it's name for being on the equator, this quirky little museum has the true equator running right through it. The presentations and the science is mind boggling. They have you stand on the", May 2019,Magnetic Attraction
Mr. Fisher,"Tampa, Florida","We asked our private driver in Quito to take us to ""mitad del mundo"" and this is where he took us, not the big equator monument with the gift shops. Initially I was skeptical but I think now that most tourists prefer this museum to the monument itself. They do some ""tricks""", April 2019,Fun visit
newhampshire680,new hampshire,We decided to visit the Intinan Museum instead of the monument so that we could stand on the real equator. We were surprised at all the exhibits and interesting stories about the Ecuadorian Indigenous peoples. We also loved the experiments that they did on the equator. This is a, April 2019,Excellent trip to the Equator
SueMu,"Brockport, New York",The experiments on the equator amazed me. My son balanced the egg on the nail and got a nice certificate. Such a cool place to visit. Displays depicting all the areas of Ecuador were very informative. , April 2019,Fun with science 
Toto V,"Washington DC, District of Columbia",Definitely the best guides and experiments are here! I’d recommend you to go here first and if you have extra time go to the touristy museum. Recommend it 100%, March 2019,Super cool and much better than the official museum
MissHK2009,"Hong Kong, China","Didn't expect much before going but found great fun during the visit. There's a guide on the spot who explained the Amazon life, the magic power at equator and various experiments there, cocoa and chocolate etc. I enjoy much. ", April 2019,Surprisingly Good
JN Travels,"Ontario, Canada","Entrance fee is $4USD- which keep in mind if you are a budget traveller and want to visit all 3 “equator sites.” We visited this site after the Mitad Del Mundo Park and thought both had an equal balance of Ecuadorian History exhibits, science experiments and over the top tourist", April 2019,The Actual Equator Line Park
Boomer,"Prescott, Arizona",Supposedly the true Equator.  Many exhibits of local history and experiments associated with the equator.  Not everything you think you see is true.  Try to determine how they make the outcomes of the experiments predictable., April 2019,Great for families
Julia H,"Wilmington,NC, United States","A portion of this museum is dedicated to acquainting tourist with Ecuatorian history.  Another section is dedicated to promoting Ecuatorian chocolate; we are not firm converts! However, the most interesting section was the interactive portion that allows visitors to experiment", March 2019,Engaging and Informative
tenthlisten,"San Francisco, California",The Intinan Museum is located on the actual equator. The experiments were very cool and our guide was awesome. He spoke English very well and was efficient - he got through the tour quickly but always asked if we had questions and never made us feel rushed. There is also an, April 2019,Great Tour and Experiments
Jim H,"Huntley, Illinois",$4 per person for this out of the way center on the equator. Tour guides were nice and informative. Even had a few challenges right on the equator.  About an hour. , April 2019,Nice little tour and talk 
ThrillAndChill,Perth,Glad I made an effort to visit this place. I was fortunate enough to have a private guide who was amazing (Myriam). Very informative and went at a good pace. Simple displays however fun and informative.  This is the actual GPS line. I also visited the other / original / yellow, April 2019,"Worth a look, interesting."
PrincessFi88,"Vancouver, Canada","We happened past here when visiting the Mitad del Mundo and, for $4 each, decided to check it out. First we did a guided tour of the place (not optional) and saw random things- a shrunken head, some guinea pigs, some replication houses of tribes people, and some questionable", April 2019,Weird but wonderful
murmur9630,,"We went to this place after the ""main"" equator site. This one was much more informal, fun, completely distracting, a bit informative with lots of drama built-in, a little bit fake facts and trickery but all in good fun and taste. This one claims to be the one true Equator. Not", March 2019,A fun Equator distraction
Lucybelle1,"Tampa, Florida",The place appears to be marking the right equatorial line as per GPS (I guess it was not bad the French were 200 meters off over 200 years ago). The guides are nice and everyone has fun with some demonstrations. The “museum“ could be better. It is a 30-45 minute visit., April 2019,"Actual equator line, the “museum” can do better "
nathan b,"Athens, Greece",We stopped for about 30 min after a day in Mindo and had a great time. Saw the fake equator demonstrations which were fun and saw actual shrunken heads. The tour guide was great and we got the certificate for balancing the egg., March 2019,Short but fun visit
Sachia,,"The tour was exceptional, helpful and you come to understand more about the equator, the history of Ecuador, and the traditions. Also got a stamp for visiting the middle of the world in my passport. ", March 2019,The REAL middle of the world
Gran2098,"Boston, Massachusetts",An interesting but rather odd museum.  Had a very enthusiastic guide but the place tries to cover a lot of Ecuador so the first exhibit and explanation was on shrunken heads and how it was done.  , March 2019,A compulsory visit to the actual equator
Roxy B,"Kennewick, Washington",The museum was a ton of fun! The staff was also fantastic and provided multilingual tours. The tour was very informational and you learned about how it came to be know as the middle of the world and who discovered it. You also learn about the native tribes of Ecuador and how the, March 2019,Tons of fun 
mom2017,Houston,The Intiman Museum exceeded all of our expectations!!!!   The employees were very knowledgeable and patient with our teenage children.  The museum was very hands on. We were able to balance an egg on a nail on the equator line and watched the water swirl in counter clockwise and, March 2019,Highlight of Our Trip!
CPH - Denmark,"Copenhagen, Denmark","I did some background research before visiting Intinan.   I am not sure how scientifically proved the sight really is.  You will be exposed to a lot of tourist traps – fake information: The ""stunts"" include the egg yolks, the water circulating in a bowl, walking along the", February 2019,No need to go - a tourist trap with produced artifacts
TinsleySC,"Catawba, South Carolina",This is the true Equator line. The tour was very informative and absolutely fun. Our guide gave us a history lesson and demonstrated the effects of the gravitational influences of the Equator. This is a must do when in Ecuador., March 2019,True Equator
Greenjag,"Warrington, United Kingdom","This museum is near to the Mitad deal Mundo, but more low key. Tours in English are available regularly. In addition to visiting the equator line and carrying out experiments, you learn about the culture of the indigenous people...even a demo. of head shrinking. Interesting and", February 2019,The true equator line is here!
Thecatsmum4,"Kettering, United Kingdom","This is hidden away, try not to miss it. Tours run hourly in different languages, our guide spoke good English and was both informative and fun.  The tour covers Jungle exhibits, a shrunken head and geographical exhibits, all which are explained to you in detail.  Then there are", December 2018,Interesting and Informative fun
John M,"Raleigh, North Carolina","This is not the main Mitad del Mundo tourist attraction through which the equator does not run.  This is a little off the beaten track but does have the equator running through it.  It has a bunch of historic exhibits, but the main attraction is being able to actually stand with", February 2019,A bit cheesy but fun
goblin_princess,"Los Angeles, California","We picked the tour in Spanish and everything went well until a few French people joined our group(mind you, they weren’t part of the group). From that moment on our guide went from Spanish to French. Terrible, just terrible! I would not recommend.  Escojimos el tour en español y", March 2019,"Interesting, but with a dreadful end - Interesante...pero final pésimo"
Farmer Beth,"Peru, New York","This little museum is hidden but was really nice. Featured both civilization that predated the Incas and had a very enjoyable hands-on equator program.  To find it, go to the big Mital de Mundo entrance, turn around and face back to the street.  Go left along the fence to end", January 2019,"This was a really nice little museum, and much better than the Mital de Mundo next door."
Stacy W,"Waukesha, WI","Excellent park .  Our guide Gabriel, was very knowledgeable.  It was very interesting and a must see if you visit Quito.", January 2019,Super cool seeing the Equator!
IAMTHETRAVELGOD,"New York City, New York",Intiñan Museum has the Ecuador line running through it and they show you the forces at play on both the north and south sides of the line. It is worth checking out when in Quito. , February 2019,Intiñan Museum 
JrnyJunkie,"Cleveland, Ohio",We had a fabulous time here and learned a lot.  This is such a wonderful experience and our guide did a great job.  I would enjoy it again if I ever get back to Quito., February 2019,Great fun and so interesting.
Nadim S,"Beirut, Lebanon","Museo Intiñan is the place where the true equator line passes!!! The French measured a wrong line some 150 years ago and built what is known as Ciudad Mitad del Mundo, but recently, with advanced tools, they found out that it is wrong, and that the Intiñan museum is the right", January 2019,True Equator Line
Bill G,"Des Moines, Iowa, United States",The official Mitad del Mundo site is not actually on the Equator--government bureaucracy at its best. But this nearby museum is on the actual Equator and it is a great cultural experience. , February 2018,Cool Cultural Experience at the Actual Equator
Beth S,"Peru, New York, United States",Very good pre-Inca (?Aztec) indigenous exhibit AND excellent science exhibit/activities. We have been in Ecuador two weeks and this is the best museum so far.  , January 2019,Outstanding
lh_1996,Seattle,A very unique and interesting place: it is exactly on the equator. The display/experiments do make one start to think. One of the questions I have been thinking is: is it easier for ancient people living on/near equator to figure out that the earth is round?   A fun fact: the, December 2018,A must go place in Quito
taxdestroyer,"Eugene, Oregon",This museum claims to have located the true center of the earth using a military grade GPS. The $4 entry fee gets you an English speaking tour guide who demonstrates how a vortex spins with counter-clockwise motion in the northern hemisphere and spins in a clockwise direction 20, January 2019,The True Equator
timsnorm,"Quito, Ecuador","Our very knowledgable guide made this stop worthwhile.  $4 admission, and the best thing is that they will stamp your passport with “equator”!   They will also give you a “diploma” if you balance an egg on the nail.    Delightful in a tacky, touristy way.  Lamas on display at", January 2019,Interesting guided tour—in English
Nikki Zimbler,"London, United Kingdom",Superb tour. Well worth visiting. Stand on the equator line. Try to walk on the line without falling. Great guide. , January 2019,Fascinating place. Informative guide 
Summerasalifestyle,"Malibu, California",Terrific tour and history of the equator as well beliefs about it. They also provide history of Ecuador and its indigenous peoples.   Totally interactive and way cool. Nice games to show effect of the equator.  They have lines and signs for the equator but my gps apps had it 4, January 2019,Way cool
Juan Abel P,"Quito, Ecuador","An excellent complement to your visit to the Equator Memorial, this small almost un noticed museum offers a different interactive experience.  During your visit you wil be able to enjoy a mix of scientific facts and tradittional beliefs.  Do not miss it if you are close to the", July 2018,A different experience of the Equator Memorial
Moliis,"Kigali, Rwanda","As proposed in a number of places, we skipped the official equator memorial and just visited this museum, which apparently is the one on the actual equator (as opposed to the main monument, which is 200 meters off thanks to some French scientists' false calculations). The museum", January 2019,Nice mix of science and traditional beliefs
mickeyik,Auckland,"This is a really well designed, interactive, informative, interesting and fun equator experience. In all honesty we just wanted to go and say we had stood on the equator. So the museum, experiments, history, guide, photo opportunities made this a really fun trip. It's a nice", December 2018,Much better than expected!
Karson and Emily,Texas,We were quite excited to finally find this place! We had gone to the larger Equator museum/park but had heard of a smaller one that was located on the real equator. We very much recommend stopping by this one!  The museum covers the history of the native people of the, July 2018,Equator
RockPaperTravel,"Edmonton, Canada",Wonderful experience at the “actual” equator line. We had a fantastic guide and it was really interesting seeing the different experiments at the equator line , December 2018,Great little museum 
Alan P,"Carcassonne Center, France","A variety of effects, such as the usual Coriolis sink plug are demonstrated with a helpful guide. You get a bit more than you expect and it is all quite well done. You get an accurate equatorial line to play with and it is quite surprising how little you have to move from it to", December 2018,Interesting Hands-On Exrerience of Equatorial Effects
bowfinn23,,A very interesting museum at the equator. Experience the pull of north and south. Intiñan Solar Museum has exhibits of flora and fauna. Very good chocolate., December 2018,Fun excursion to the equator
Troy M,"Seattle, Washington","This museum has got some great gimmicks and is worth a visit for the humor.  As some other reviewers have pointed out, the physical science is a bit questionable. But the guide was fun and he made a point of making sure we had enough pictures of us performing the various", November 2018,"Entertaining, but probably not in the sense they expect"
Khufu8,"Oakville, Canada","We visited this attraction as part of our Middle of the World tour.  It is only at this site is the actual 0""0""0"" latitude found, not at the much larger monument built to honour the French discovery several kilometres away.  Our tour guide was fantastic, and the demonstration of", November 2018,Great Little Museum
LauraLaureen,,highly recommended to visit this museum while in Quito! It has a lot of little and fun activities to proof that you are on the equator and lovely guides that show you around, December 2018,lovely and fun museum on the real equator
W3TB,"Williamsburg, Virginia",We visited there following lunch at a nearby restaurant called El Crater -- reviewed separately -- about 2-3 km away overlooking a volcano crater area and reviewed separately.  A monument called Mitad del Mundo markes the equator as determined by a French geographic team in the, September 2018,Fun at the Equator
Nicolás K,,"As a scientist, I can not tolerate the fake science they use as entertainment there. The actual half of the world is a few metres outside if you have a GPS you can find it.", July 2018,Some expos are cool but the science is totally wrong
r4fam2018,"San Jose, California","Our family enjoyed this informative tour, which included an english speaking guide.   We learned about the culture, background of the native tribes and location is the actual line of the equator.  Fun and interesting scientific experiments based on being on the equator!", November 2018,Prefer this over Mitad del Mundo
Sheryl S,"Philadelphia, Pennsylvania",The collection of this museum is largely reproductions of artifact that are elsewhere (National Bank Museum is one place).  It does give a very easily understandable history of the culture and history of the pre-Incan indigenous people.  The displays are gorgeous., October 2018,Pre-Incan native cultural museum
Sierra D,Bozeman,"This is the actual equator line measured with GPS technology. They do some really fun experiments on the line to prove that this is the real spot. It also has a lot of cultural elements and totally worth visiting, especially if you are right down the road the historical landmark", October 2018,The REAL Equator Line with GPS
Nicole B,"Uithoorn, The Netherlands",We really liked this museum. It was not too crowded and because you'll be with a guide it is informative (not just about the equator but also about the culture) and fun to visit. There is a possibility to do different science experiments.  This is the real equator monument!, August 2018,If you have to choose...visit this museum instead of the Mitad del Mundo
Vivian R,"Tumbaco, Ecuador",I love taking my friends and family here.  Lots of great information about the equator and fun science experiments.  It’s good for young and old.   , November 2017,Educational and fun
PepePitMD,"Quito, Ecuador",Almost always overlooked. But must see and experience! The physics of living on the equator is incredible!, October 2018,Do not overlook
DianaUIO,"Quito, Ecuador","I always take foreigners to this place. I love how the guides interact with the tourists and how the place is assigned.  If you go on Sunday, try to go there before 3pm, since they get huge groups at that time from a big agency, so you will need to wait a lot or be part of very", September 2018,Love to go there
Carole D.,"Ottawa, Canada","From the Main Mitad del Mundo monument, we walk about 400 meters on the main road and turn onto a sandy entrance to what appears a little sketchy.  We continue to find a small entrance into a great venue. We are greeted by someone who guides us to an outdoor seating area where", September 2018,What a Fun place!
